rank,stock_code,name,closing_price,market_cap,score,mom_20d,drawdown_from_high,volume_surprise,past_glory_1y,fallen_angel_score,vcp_score
246,204320,만도,64300,3019342816000,0.16006435910107977,0.18416206261510126,-0.15171503957783639,0.35272014226017834,1.3613707165109035,0.0,0.0
247,077970,STX엔진,36050,1447337671150,0.15967276118937918,0.006983240223463749,-0.2761044176706827,1.205155674528423,1.7198252321135992,0.0,0.0
248,357780,솔브레인,412500,3208658475000,0.15732847166226127,0.5988372093023255,-0.0060240963855421326,2.9171175326249563,1.6774193548387095,0.0,0.0
249,089030,테크윙,44150,1635918426750,0.15714898000648722,-0.008978675645342271,-0.3606082548877625,1.6108942718868218,1.6506717850287909,0.5952458717917001,0.0
250,066970,엘앤에프,136700,5500771637800,0.15660228969544326,0.2994296577946769,-0.08255033557046976,2.3538827593687026,2.1702127659574466,0.0,0.0
251,050890,쏠리드,8260,501848970840,0.155458264083627,0.08684210526315783,-0.08930540242557883,2.4329172966644292,0.5828970331588132,0.0,0.0
252,00680K,미래에셋대우2우B,13800,1886163051600,0.1542700416308814,0.22015915119363405,-0.015691868758915817,1.0742150436879816,2.670157068062827,0.0,0.0
253,483650,달바글로벌,160000,1982826400000,0.15389729876533942,0.10268780151619583,-0.3535353535353535,1.7590374853068165,1.3661567877629062,0.4829847229464819,0.0
254,454910,두산로보틱스,120400,7804325592000,0.15316047365088856,0.5298602287166454,-0.06883217324052593,0.6338396171004392,2.2692793931731985,0.0,0.0
255,005385,현대차우,269500,6290388720000,0.1530723718227813,0.32432432432432434,-0.15384615384615385,0.7904623880881783,1.412878787878788,0.0,0.0
256,000250,삼천당제약,439500,10309558944000,0.1523966557389731,1.0206896551724136,-0.0254988913525499,1.2983191320735943,2.5344827586206895,0.0,0.0
257,032820,우리기술,8740,1457454344600,0.15041753527808122,1.358974358974359,-0.12424849699398799,0.9916174236840956,5.8685478320715765,0.0,0.0
258,247540,에코프로비엠,229000,22396507776000,0.15007866768185357,0.4521242866201649,-0.006507592190889366,4.243165607704452,1.842170160295931,0.0,0.0
